v101_locus,zl_locus,zl_descriptor,zl_hand,zl_language,distance
f21r.2,f21r.2,+P0,1,A,0.018
f21r.3,f21r.3,+P0,1,A,0.045
f21r.4,f21r.4,+P0,1,A,0.039
f21r.5,f21r.5,+P0,1,A,0.019
f21r.6,f21r.6,+P0,1,A,0.057
f21r.7,f21r.7,+P0,1,A,0.056
f21r.8,f21r.8,+P0,1,A,0.02
f21r.9,f21r.9,+P0,1,A,0.0
f21r.10,f21r.10,+P0,1,A,0.0
f21r.11,f21r.11,+P0,1,A,0.0
f21r.12,f21r.12,+P0,1,A,0.0
f21v.1,f21v.1,@P0,1,A,0.02
f21v.2,f21v.2,+P0,1,A,0.0
f21v.3,f21v.3,+P0,1,A,0.0
f21v.4,f21v.4,+P0,1,A,0.0
f21v.5,f21v.5,+P0,1,A,0.025
f21v.6,f21v.6,+P0,1,A,0.0
f21v.7,f21v.7,+P0,1,A,0.0
f21v.8,f21v.8,+P0,1,A,0.0
f22r.1,f22r.1,@P0,1,A,0.0
f22r.2,f22r.2,+P0,1,A,0.034
f22r.3,f22r.3,+P0,1,A,0.0
f22r.4,f22r.4,+P0,1,A,0.0
f22r.5,f22r.5,+P0,1,A,0.0
f22r.6,f22r.6,+P0,1,A,0.0
f22r.7,f22r.7,+P0,1,A,0.19
f22r.8,f22r.8,+P0,1,A,0.082
f22r.9,f22r.9,+P0,1,A,0.031
f22r.10,f22r.10,+P0,1,A,0.0
f22r.11,f22r.11,+P0,1,A,0.053
f22r.12,f22r.12,+P0,1,A,0.0
f22r.13,f22r.13,+P0,1,A,0.032
f22v.1,f22v.1,@P0,1,A,0.0
f22v.2,f22v.2,+P0,1,A,0.023
f22v.3,f22v.3,+P0,1,A,0.023
f22v.4,f22v.4,+P0,1,A,0.0
f22v.5,f22v.5,+P0,1,A,0.0
f22v.6,f22v.6,+P0,1,A,0.045
f22v.7,f22v.7,+P0,1,A,0.0
f22v.8,f22v.8,+P0,1,A,0.0
f22v.9,f22v.9,+P0,1,A,0.0
f22v.10,f22v.10,+P0,1,A,0.045
f22v.11,f22v.11,+P0,1,A,0.071
f22v.12,f22v.12,+P0,1,A,0.0
f22v.13,f22v.13,+P0,1,A,0.043
f22v.14,f22v.14,+P0,1,A,0.0
f22v.15,f22v.15,+P0,1,A,0.0
f22v.16,f22v.16,+Pc,1,A,0.0
